1.0000,0.4301,0.4656,0.0398,0.1171,0.3343,0.1029,0.2972,0.0432,0.1557,0.2359,0.0980,0.0116,-0.0017,0.0827,0.1309,-0.0716,0.0502,0.0277,0.0009,0.0016,0.0201,0.1401,0.3333,0.1637,0.0581,0.1508,0.3543,0.2745,0.2874
0.4301,1.0000,0.4074,0.1552,0.2598,0.3625,0.1521,0.4235,0.1643,0.3199,0.4396,0.1270,0.2847,0.2955,0.3473,0.4189,0.0893,0.1405,0.2329,0.2353,0.2696,0.2207,0.4269,0.5141,0.3059,0.2239,0.3055,0.5018,0.4112,0.5261
0.4656,0.4074,1.0000,0.2503,0.2863,0.1826,0.3863,0.3267,0.3111,0.3845,0.4333,0.3127,0.2361,0.3098,0.3289,0.2476,0.1135,0.4217,0.4840,0.3184,0.3563,0.3290,0.3499,0.3622,0.5020,0.2698,0.2389,0.3250,0.2773,0.2234
0.0398,0.1552,0.2503,1.0000,0.2931,0.2594,0.5161,0.2430,0.1133,0.3016,0.3551,0.3483,0.1461,0.4621,0.2268,0.2397,0.1042,0.2599,0.3702,0.2618,0.2528,0.2046,0.4179,0.2918,0.3461,0.2040,0.2299,0.2952,0.1541,0.1915
0.1171,0.2598,0.2863,0.2931,1.0000,0.2142,0.3473,0.3629,0.4853,0.4967,0.5715,0.4125,0.5580,0.1522,0.4168,0.3971,0.2387,0.1353,0.3414,0.2889,0.3062,0.3256,0.4215,0.3130,0.3379,0.1462,0.3131,0.3356,0.2097,0.1617
0.3343,0.3625,0.1826,0.2594,0.2142,1.0000,0.3731,0.3620,0.1508,0.4165,0.4178,0.4672,0.1614,0.2044,0.1169,0.1311,-0.0425,0.0251,0.1661,0.0314,0.0061,-0.0442,0.1859,0.3334,0.1747,0.1298,0.8362,0.5253,0.5746,0.5772
0.1029,0.1521,0.3863,0.5161,0.3473,0.3731,1.0000,0.2450,0.4188,0.5608,0.3925,0.7919,0.3127,0.5561,0.3907,0.2933,0.4136,0.6096,0.5103,0.5195,0.5020,0.5210,0.4395,0.2600,0.6412,0.4975,0.4280,0.3614,0.2589,0.1848
0.2972,0.4235,0.3267,0.2430,0.3629,0.3620,0.2450,1.0000,0.3771,0.3750,0.5071,0.2914,0.4152,0.2566,0.4210,0.5166,0.2266,0.2341,0.2115,0.3113,0.3823,0.3615,0.4249,0.4321,0.3900,0.2763,0.3172,0.4225,0.2041,0.3667
0.0432,0.1643,0.3111,0.1133,0.4853,0.1508,0.4188,0.3771,1.0000,0.6208,0.4482,0.4915,0.6972,0.4089,0.3950,0.3582,0.5327,0.4638,0.3685,0.5501,0.5070,0.6306,0.3211,0.3200,0.4271,0.3907,0.2582,0.2617,0.1718,0.0469
0.1557,0.3199,0.3845,0.3016,0.4967,0.4165,0.5608,0.3750,0.6208,1.0000,0.7943,0.6966,0.4338,0.3653,0.2942,0.3266,0.3059,0.3527,0.4751,0.4722,0.3692,0.3926,0.4381,0.4668,0.4031,0.4146,0.5250,0.4536,0.3906,0.2265
0.2359,0.4396,0.4333,0.3551,0.5715,0.4178,0.3925,0.5071,0.4482,0.7943,1.0000,0.4559,0.5976,0.2648,0.3438,0.4487,0.1782,0.1452,0.3664,0.2686,0.2705,0.2543,0.5347,0.4552,0.2809,0.3086,0.4799,0.4400,0.3584,0.3044
0.0980,0.1270,0.3127,0.3483,0.4125,0.4672,0.7919,0.2914,0.4915,0.6966,0.4559,1.0000,0.3052,0.3696,0.2550,0.2048,0.3029,0.4495,0.4278,0.4321,0.3625,0.4123,0.3138,0.1995,0.4450,0.5045,0.5125,0.4461,0.2321,0.1403
0.0116,0.2847,0.2361,0.1461,0.5580,0.1614,0.3127,0.4152,0.6972,0.4338,0.5976,0.3052,1.0000,0.3084,0.4731,0.4732,0.4660,0.2376,0.2282,0.3107,0.4252,0.4376,0.4156,0.3827,0.3252,0.2203,0.2771,0.2778,0.2298,0.1080
-0.0017,0.2955,0.3098,0.4621,0.1522,0.2044,0.5561,0.2566,0.4089,0.3653,0.2648,0.3696,0.3084,1.0000,0.3334,0.2913,0.4144,0.5476,0.4751,0.5834,0.5382,0.4979,0.4704,0.3092,0.6091,0.4257,0.2811,0.2835,0.2663,0.1246
0.0827,0.3473,0.3289,0.2268,0.4168,0.1169,0.3907,0.4210,0.3950,0.2942,0.3438,0.2550,0.4731,0.3334,1.0000,0.8546,0.4748,0.3837,0.3437,0.3651,0.5371,0.5175,0.4376,0.1832,0.5283,0.3021,0.2150,0.1829,0.2376,0.2246
0.1309,0.4189,0.2476,0.2397,0.3971,0.1311,0.2933,0.5166,0.3582,0.3266,0.4487,0.2048,0.4732,0.2913,0.8546,1.0000,0.4476,0.3375,0.3172,0.3561,0.5196,0.4691,0.4781,0.2386,0.4356,0.2737,0.1874,0.2967,0.1696,0.2362
-0.0716,0.0893,0.1135,0.1042,0.2387,-0.0425,0.4136,0.2266,0.5327,0.3059,0.1782,0.3029,0.4660,0.4144,0.4748,0.4476,1.0000,0.6462,0.4220,0.5008,0.7855,0.7497,0.2409,0.1113,0.6031,0.5147,0.0525,0.0439,-0.0735,-0.1174
0.0502,0.1405,0.4217,0.2599,0.1353,0.0251,0.6096,0.2341,0.4638,0.3527,0.1452,0.4495,0.2376,0.5476,0.3837,0.3375,0.6462,1.0000,0.6742,0.6364,0.7749,0.7488,0.2830,0.1320,0.7493,0.5384,0.0726,0.1572,-0.0071,0.0323
0.0277,0.2329,0.4840,0.3702,0.3414,0.1661,0.5103,0.2115,0.3685,0.4751,0.3664,0.4278,0.2282,0.4751,0.3437,0.3172,0.4220,0.6742,1.0000,0.4786,0.6475,0.5481,0.3103,0.2368,0.6755,0.4219,0.2346,0.1949,0.2005,0.2618
0.0009,0.2353,0.3184,0.2618,0.2889,0.0314,0.5195,0.3113,0.5501,0.4722,0.2686,0.4321,0.3107,0.5834,0.3651,0.3561,0.5008,0.6364,0.4786,1.0000,0.6153,0.6132,0.7156,0.3453,0.5884,0.4778,0.1213,0.2285,0.1113,0.0437
0.0016,0.2696,0.3563,0.2528,0.3062,0.0061,0.5020,0.3823,0.5070,0.3692,0.2705,0.3625,0.4252,0.5382,0.5371,0.5196,0.7855,0.7749,0.6475,0.6153,1.0000,0.8745,0.4131,0.2543,0.7952,0.5128,0.0942,0.1746,0.0396,0.0970
0.0201,0.2207,0.3290,0.2046,0.3256,-0.0442,0.5210,0.3615,0.6306,0.3926,0.2543,0.4123,0.4376,0.4979,0.5175,0.4691,0.7497,0.7488,0.5481,0.6132,0.8745,1.0000,0.3346,0.2084,0.7327,0.5260,0.0610,0.1516,0.0260,0.0083
0.1401,0.4269,0.3499,0.4179,0.4215,0.1859,0.4395,0.4249,0.3211,0.4381,0.5347,0.3138,0.4156,0.4704,0.4376,0.4781,0.2409,0.2830,0.3103,0.7156,0.4131,0.3346,1.0000,0.4639,0.4088,0.3288,0.2525,0.3566,0.3023,0.2747
0.3333,0.5141,0.3622,0.2918,0.3130,0.3334,0.2600,0.4321,0.3200,0.4668,0.4552,0.1995,0.3827,0.3092,0.1832,0.2386,0.1113,0.1320,0.2368,0.3453,0.2543,0.2084,0.4639,1.0000,0.3392,0.1741,0.3191,0.5162,0.5947,0.3281
0.1637,0.3059,0.5020,0.3461,0.3379,0.1747,0.6412,0.3900,0.4271,0.4031,0.2809,0.4450,0.3252,0.6091,0.5283,0.4356,0.6031,0.7493,0.6755,0.5884,0.7952,0.7327,0.4088,0.3392,1.0000,0.5160,0.2244,0.3080,0.2283,0.1999
0.0581,0.2239,0.2698,0.2040,0.1462,0.1298,0.4975,0.2763,0.3907,0.4146,0.3086,0.5045,0.2203,0.4257,0.3021,0.2737,0.5147,0.5384,0.4219,0.4778,0.5128,0.5260,0.3288,0.1741,0.5160,1.0000,0.1395,0.3712,0.1177,0.0156
0.1508,0.3055,0.2389,0.2299,0.3131,0.8362,0.4280,0.3172,0.2582,0.5250,0.4799,0.5125,0.2771,0.2811,0.2150,0.1874,0.0525,0.0726,0.2346,0.1213,0.0942,0.0610,0.2525,0.3191,0.2244,0.1395,1.0000,0.4943,0.5649,0.4582
0.3543,0.5018,0.3250,0.2952,0.3356,0.5253,0.3614,0.4225,0.2617,0.4536,0.4400,0.4461,0.2778,0.2835,0.1829,0.2967,0.0439,0.1572,0.1949,0.2285,0.1746,0.1516,0.3566,0.5162,0.3080,0.3712,0.4943,1.0000,0.4677,0.3273
0.2745,0.4112,0.2773,0.1541,0.2097,0.5746,0.2589,0.2041,0.1718,0.3906,0.3584,0.2321,0.2298,0.2663,0.2376,0.1696,-0.0735,-0.0071,0.2005,0.1113,0.0396,0.0260,0.3023,0.5947,0.2283,0.1177,0.5649,0.4677,1.0000,0.5147
0.2874,0.5261,0.2234,0.1915,0.1617,0.5772,0.1848,0.3667,0.0469,0.2265,0.3044,0.1403,0.1080,0.1246,0.2246,0.2362,-0.1174,0.0323,0.2618,0.0437,0.0970,0.0083,0.2747,0.3281,0.1999,0.0156,0.4582,0.3273,0.5147,1.0000
0.1646,0.1455,0.0104,0.1024,0.1295,0.0296,0.0302,-0.0329,-0.0151,-0.0810,0.0450,-0.1268,0.1225,0.1109,0.0259,0.0661,0.0680,-0.0264,0.1188,-0.0248,0.1171,0.0576,0.0925,0.1824,0.1742,-0.1442,0.0204,0.0695,0.1102,0.0692
0.1831,-0.0639,-0.0033,0.2120,0.1287,0.0213,0.2410,-0.0096,-0.0866,0.0921,0.0878,0.1439,-0.0844,-0.0128,-0.0959,-0.0497,-0.0940,0.0110,0.0918,0.0591,-0.0731,-0.0642,0.0586,0.0350,0.0136,-0.0591,0.0301,0.0125,-0.0407,0.0332
0.0915,0.0753,0.0049,0.0795,0.1360,0.0326,-0.0187,0.3844,0.1508,0.1645,0.2850,-0.0115,0.1894,0.0165,0.1503,0.1419,0.0045,-0.1551,-0.0783,0.0684,0.0316,0.0491,0.1757,0.2367,0.0148,-0.1157,-0.0202,-0.0217,0.0308,0.0403
0.2342,-0.0755,0.0396,-0.1432,-0.1185,-0.0219,-0.0862,-0.1526,-0.1149,-0.1082,-0.0013,-0.1461,-0.0343,-0.1027,-0.1050,-0.1086,-0.0545,-0.1288,-0.1323,-0.1395,-0.1366,-0.1130,-0.1124,-0.0769,-0.0778,-0.2204,-0.0628,-0.0560,-0.0711,-0.0260
0.1143,0.0403,0.0566,-0.0107,0.2680,0.0122,0.0649,0.1731,0.1885,0.0508,0.1130,-0.0089,0.2586,0.0731,0.1627,0.1054,0.1158,0.0499,0.1291,0.2008,0.2323,0.1645,0.2834,0.2151,0.1733,-0.0985,-0.0097,-0.0125,0.0764,0.0858
0.1176,0.1133,0.0668,-0.0279,0.1663,0.0368,0.1474,0.0561,0.1606,0.0762,0.1371,0.0887,0.2001,0.0689,0.2020,0.1115,0.1726,0.0975,0.1282,0.0968,0.2001,0.1549,0.1026,0.0464,0.1867,0.0563,-0.0527,0.0080,-0.1065,0.0257
0.1366,0.0036,-0.0743,-0.0160,0.0533,0.0978,0.0863,-0.1527,-0.0486,0.1176,0.0726,0.0729,-0.0436,-0.0529,0.0148,-0.0398,0.0843,0.0315,0.0564,-0.0311,-0.0039,-0.0371,-0.0063,-0.0882,-0.0093,0.0399,0.0725,0.0549,-0.0109,0.1160
0.1427,0.0287,-0.0254,0.0205,0.1071,0.0299,0.0108,-0.0718,0.0559,-0.0301,0.0323,-0.1174,0.1181,0.1022,0.0380,0.0506,0.1488,0.1528,0.1753,0.0468,0.2002,0.1236,0.0886,0.0600,0.2226,-0.0642,-0.0054,-0.0558,0.0019,0.1245
0.1113,-0.1577,0.0092,-0.0499,-0.0580,-0.1675,-0.1171,-0.1337,-0.1138,-0.1303,-0.0721,-0.0921,-0.0519,-0.1161,-0.0626,0.0110,0.0621,0.0179,-0.0593,-0.1406,0.0206,0.0305,-0.2133,-0.1715,-0.0474,-0.2195,-0.2227,-0.1268,-0.2530,-0.2170
0.1058,0.2370,-0.0036,-0.0114,-0.0848,0.2853,0.0014,0.0751,-0.1433,-0.0361,0.1212,-0.0588,-0.0358,-0.0047,0.0079,-0.0461,-0.1379,-0.0780,0.0750,-0.1145,-0.0063,-0.0226,0.0865,0.0835,0.0084,-0.1257,0.1987,-0.0089,0.2060,0.4696
0.0215,-0.0517,-0.0644,0.0126,0.1546,0.0326,0.0587,0.0610,0.1710,-0.0186,0.1054,0.0348,0.2531,-0.0198,0.1382,0.0309,0.1572,-0.0315,-0.0057,-0.0740,0.1609,0.1827,-0.0371,-0.0140,0.0824,-0.0055,-0.0468,-0.0719,-0.0277,-0.0421
0.1690,0.0239,-0.0481,-0.0867,-0.0822,-0.0851,0.0348,-0.0495,-0.0549,-0.1090,-0.0451,-0.1642,0.0463,-0.0121,0.0792,0.0532,0.1634,0.1594,0.0504,0.1140,0.1128,0.0722,0.0822,0.0568,0.1224,-0.0296,-0.0458,-0.1353,-0.0101,0.0139
0.1118,0.0671,0.0100,-0.2178,-0.0869,0.0219,0.0326,-0.1158,-0.0986,-0.1771,-0.1249,-0.0885,-0.0741,-0.0049,0.0517,-0.0031,0.1523,0.1656,0.1186,-0.0894,0.1612,0.0797,-0.0911,-0.1341,0.1492,-0.0347,0.0147,-0.1340,-0.1565,0.0230
0.0852,-0.1694,0.1617,-0.0877,0.0761,-0.0879,0.0297,0.0662,-0.0254,-0.0625,-0.0110,-0.0508,0.0112,-0.0085,0.0979,0.0301,-0.0200,0.0513,0.0012,-0.0086,0.0459,-0.0465,0.0423,-0.0163,0.1013,-0.0835,-0.0709,-0.1118,0.0094,-0.0434
0.0913,-0.0301,0.0834,0.1054,0.0458,0.0049,0.3199,-0.0794,-0.0805,0.0855,0.0894,0.2262,0.0101,0.0346,0.1071,0.0282,0.1228,0.1338,0.1155,0.1433,0.1859,0.1532,0.1186,-0.0555,0.1993,0.0619,0.0427,-0.0259,-0.1334,-0.0326
0.1233,0.0544,0.0775,0.0426,0.0505,0.0643,0.0756,-0.1320,-0.1175,-0.0071,0.0224,0.0255,-0.0114,0.0830,0.1364,-0.0065,0.1198,0.1672,0.1160,-0.0233,0.1135,0.0512,0.0078,-0.0902,0.1966,0.0268,0.0105,-0.0281,-0.0891,0.0526
0.0754,0.0046,0.0801,-0.0100,0.1024,-0.1415,0.0088,0.0889,0.0794,0.0592,0.0735,-0.0014,0.0280,-0.0973,0.1211,0.1146,0.0960,0.0014,0.0855,0.1072,0.0943,0.1433,0.1317,0.1523,0.0596,0.0014,-0.1270,-0.0343,-0.0056,-0.1484
-0.0175,-0.0296,-0.1327,0.1728,-0.0120,-0.0958,0.0437,-0.0120,-0.0018,-0.0087,0.1025,-0.0964,0.1230,0.1089,-0.0067,0.0084,0.0212,-0.0185,0.0093,-0.0053,0.0148,0.0542,0.0934,0.1286,0.0235,-0.0714,-0.0948,-0.0646,-0.0882,-0.0856
